Seq;Power W;BatBMS V;BatCHG V;GRID V;GRID A;BatPers %;BatCur A;CHG AH;DIS AH;Pv AH;Site AH
10102; 567;53.30;53.00;5.70;0.00;   75;11.09;  1.02;15.63;42.19;2785.01
10112; 566;55.05;53.00;5.70;0.00;   75;11.25;  1.02;15.63;42.19;2785.01
10122; 609;55.03;52.99;5.50;0.00;   75;11.71;  1.02;15.63;42.19;2785.01
10132; 608;55.03;52.99;5.50;0.00;   75;11.90;  1.02;15.63;42.19;2785.01
10142; 578;53.29;52.99;5.70;0.00;   75;11.35;  1.02;15.84;42.23;2795.58
10152; 655;53.26;52.96;5.50;0.00;   75;12.91;  1.02;15.84;42.23;2795.58
10162; 620;53.27;52.97;5.50;0.00;   75;12.20;  1.02;15.84;42.23;2795.58
10172; 589;55.03;52.98;5.50;0.00;   75;11.57;  1.02;15.84;42.23;2795.58
10182; 563;53.29;52.99;5.70;0.00;   75;11.05;  1.02;15.84;42.23;2795.58
10192; 578;53.28;52.98;5.70;0.00;   75;11.41;  1.02;15.84;42.23;2795.58
10202; 578;53.28;52.98;5.70;0.00;   75;11.39;  1.02;16.04;42.27;2805.68
10212; 530;53.29;52.99;5.70;0.00;   75;10.42;  1.02;16.04;42.27;2805.68
10222; 647;53.26;52.96;5.80;0.00;   75;12.75;  1.02;16.04;42.27;2805.68
10232; 607;53.27;52.97;5.50;0.00;   75;11.95;  1.02;16.04;42.27;2805.68
10242; 597;53.27;52.97;5.70;0.00;   75;11.68;  1.02;16.04;42.27;2805.68
10252; 568;53.28;52.98;5.70;0.00;   75;11.16;  1.02;16.04;42.27;2805.68
10262; 550;55.03;52.98;5.50;0.00;   75;10.82;  1.02;16.23;42.30;2815.56
10272; 574;55.03;52.98;5.70;0.00;   75;11.28;  1.02;16.23;42.30;2815.56
10282; 572;55.01;52.97;5.70;0.00;   75;11.27;  1.02;16.23;42.30;2815.56
10292; 642;53.24;52.95;5.50;0.00;   75;12.72;  1.02;16.23;42.30;2815.56
10302; 575;53.26;52.96;5.50;0.00;   75;11.31;  1.02;16.23;42.30;2815.56
10312; 559;53.26;52.96;5.70;0.00;   75;11.13;  1.02;16.23;42.30;2815.56
10322; 573;53.26;52.96;5.70;0.00;   75;11.29;  1.02;16.43;42.34;2825.28
10332; 584;53.26;52.96;5.70;0.00;   75;11.50;  1.02;16.43;42.34;2825.28
10342; 582;53.26;52.96;5.50;0.00;   75;11.41;  1.02;16.43;42.34;2825.28
10352; 533;55.01;52.94;5.80;0.00;   75;12.96;  1.02;16.43;42.34;2825.28
10362; 609;53.24;52.94;5.50;0.00;   75;12.02;  1.02;16.43;42.34;2825.28
